#   Time (s)     Flux (ppm)    Error (ppm)
1322315.0456     -119.20929      50.66788
1324080.5021       -3.09944      50.67830
1325845.9414       51.37920      50.67771
1327611.3979     -156.76022      50.66761
1329376.8458     -248.37256      50.67451
1331142.2852     -190.55605      50.67462
1332907.7418       12.39777      50.66716
1334673.1898       28.13339      50.67670
1336438.6378     -142.69351      50.67780
1338204.0858     -216.84171      50.67235
1339969.5339      -57.81651      50.67463
1341734.9820       75.81711      50.67230
1343500.4301      284.31415      50.68461
1345265.8782       92.62562      50.66821
1347031.3350      157.59468      50.67769
1348796.7832      103.83129      50.68271
1350562.2227      153.77998      50.68050
1352327.6796      -65.26709      50.66304
1354093.1278     -150.85936      50.66918
1355858.5674      -48.51818      50.67864
1357624.0243      333.78601      50.68191
1359389.4726      627.04089      50.68961
1361154.9209      552.17743      50.68980
1362920.3693      418.90143      50.67903
1366451.2660      146.86584      50.67553
1368216.7144      204.20551      50.68165
1369982.1542      264.28699      50.68044
1371747.6112     -249.38583      50.66560
1373513.0597     -291.16870      50.66005
1375278.4996     -145.97177      50.67537
1377043.9567       -7.33137      50.68385
1378809.4052      -94.89059      50.66288
1380574.8624      -83.32729      50.66349
1384105.7509      -73.07529      50.66623
1385871.2082       45.65716      50.66744
1387636.6482      -90.89708      50.66715
1389402.0968     -303.56647      50.66722
1391167.5541     -176.90659      50.67001
1392932.9942       39.10065      50.66292
1394698.4515      271.08191      50.67514
1396463.9003      591.51648      50.67865
1398229.3490      390.05280      50.68193
1399994.7978     -128.03078      50.67024
1401760.2466     -148.89240      50.66780
1403525.6954      272.39322      50.68174
1405291.1443      423.66980      50.68653
1407056.5931       79.98943      50.68259
1408822.0420     -409.24548      50.67196
1410587.4996     -699.69891      50.66277
1412352.9398     -387.43018      50.66388
1414118.3974      117.30194      50.67481
1415883.8464      239.72989      50.68578
1417649.2868       62.46567      50.67208
1419414.7444      -95.30783      50.67052
